LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [128]	Starting...


LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [136]	port parameter file:/home/otsdaq/otsdaq/srcs/otsdaq_fermilabtestbeam/ftbf_telescope/2022_03_March_ftbf_telescope_userdata/MessageFacilityConfigurations/QuietForwarder.cfg


LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [160]	Forwarding from: 30000 to: 127.0.0.1:30001


LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [232]	set socket receive size to 0x1400000.
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [243]	set socket receive size verified at 0x68000.
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 22 sz=4975
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3804
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 15 sz=4749
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=4097
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 16 sz=4930
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3300
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 20 sz=4693
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=4537
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 16 sz=4702
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=4359
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [465]	Pack count ==> 18 sz=4846
MFfwd missed 1 vs 5 4294967292 packet(s) from 2021!
MFfwd missed 5 vs 2 3 packet(s) from 2021!
MFfwd missed 1 vs 5 4294967292 packet(s) from 2017!
LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [512]	WrapAvoid Pack count ==> 13 sz=3610
MFfwd missed 5 vs 2 3 packet(s) from 2017!
MFfwd missed 1 vs 5 4294967292 packet(s) from 2025!
MFfwd missed 5 vs 2 3 packet(s) from 2025!
